3,3849,1
1,3856,2
3,3856,2
1,3856,3
1,3860,0
0,3864,1
2,3864,1
3,3864,1
1,3871,2
3,3871,2
1,3871,3
1,3876,0
2,3880,1
3,3880,1
1,3886,2
3,3886,2
0,3894,1
1,3902,2
3,3902,2
1,3902,3
2,3902,3
1,3905,0
0,3909,1
2,3909,1
3,3909,1
1,3916,2
3,3916,2
2,3916,3
1,3920,0
0,3924,1
3,3924,1
1,3931,2
1,3935,0
0,3939,1
2,3939,1
1,3946,2
3,3946,2
1,3946,3
2,3946,3
1,3951,0
3,3955,1
1,3961,2
3,3961,2
2,3961,3
1,3965,0
0,3969,1
3,3969,1
3,3977,2
1,3977,3
2,3977,3
1,3980,0
0,3984,1
2,3984,1
3,3984,1
1,3991,2
3,3991,2
1,3991,3
2,3991,3
1,3995,0
0,4000,1
2,4000,1
3,4000,1
3,4006,2
1,4006,3
2,4006,3
1,4010,0
0,4014,1
2,4014,1
3,4014,1
1,4022,2
3,4022,2
2,4022,3
1,4026,0
0,4029,1
2,4029,1
3,4029,1
1,4036,2
3,4036,2
1,4036,3
2,4036,3
1,4040,0
0,4044,1
2,4044,1
3,4044,1
0,4051,2
3,4051,2
1,4051,3
2,4051,3
2,4055,0
1,4055,0
3,4059,1
0,4066,2
3,4066,2
1,4066,3
2,4066,3
2,4070,0
1,4070,0
0,4075,1
2,4075,1
3,4075,1
3,4081,2
1,4081,3
2,4081,3
1,4085,0
0,4089,1
3,4089,1
0,4097,2
1,4097,2
3,4097,2
1,4097,3
2,4097,3
2,4101,0
0,4104,1
3,4104,1
0,4111,2
1,4111,2
3,4111,2
1,4111,3
2,4111,3
1,4115,0
0,4119,1
0,4126,2
1,4126,2
1,4126,3
2,4130,0
1,4130,0
0,4134,1
2,4134,1
3,4134,1
0,4141,2
1,4141,2
3,4141,2
1,4141,3
2,4141,3
2,4146,0
1,4146,0
0,4150,1
2,4150,1
3,4150,1
0,4156,2
1,4156,2
3,4156,2
1,4156,3
2,4156,3
2,4160,0
1,4160,0
0,4164,1
3,4164,1
1,4172,2
3,4172,2
1,4172,3
2,4172,3
1,4175,0
0,4179,1
2,4179,1
0,4186,2
1,4186,2
3,4186,2
1,4186,3
2,4186,3
2,4190,0
1,4190,0
0,4194,1
2,4194,1
0,4201,2
1,4201,2
3,4201,2
1,4201,3
2,4205,0
1,4205,0
2,4209,1
3,4209,1
0,4217,2
1,4217,2
3,4217,2
2,4221,0
1,4221,0
0,4225,1
2,4225,1
3,4225,1
1,4231,2
3,4231,2
1,4231,3
2,4231,3
2,4235,0
2,4239,1
3,4239,1
0,4246,2
1,4246,2
3,4246,2
1,4246,3
2,4246,3
2,4250,0
1,4250,0
0,4254,1
2,4254,1
3,4254,1
0,4261,2
3,4261,2
1,4261,3
1,4265,0
0,4270,1
2,4270,1
3,4270,1
0,4276,2
1,4276,2
3,4276,2
1,4276,3
2,4276,3
0,4284,1
3,4284,1
0,4292,2
3,4292,2
2,4292,3
2,4296,0
1,4296,0
0,4299,1
2,4299,1
3,4299,1
0,4306,2
1,4306,2
3,4306,2
1,4306,3
2,4306,3
2,4310,0
1,4310,0
0,4314,1
2,4314,1
3,4314,1
0,4321,2
3,4321,2
3,4329,1
1,4336,2
3,4336,2
2,4336,3
2,4341,0
1,4341,0
0,4345,1
2,4345,1
0,4351,2
1,4351,2
3,4351,2
1,4351,3
2,4355,0
1,4355,0
0,4359,1
3,4359,1
1,4367,2
3,4367,2
1,4367,3
2,4367,3
2,4370,0
1,4370,0
0,4374,1
2,4374,1
0,4381,2
1,4381,2
3,4381,2
1,4381,3
2,4385,0
1,4385,0
2,4389,1
3,4389,1
0,4396,2
1,4396,2
3,4396,2
1,4396,3
1,4400,0
0,4404,1
3,4404,1
0,4411,2
1,4411,2
3,4411,2
1,4411,3
2,4411,3
2,4416,0
1,4416,0
0,4420,1
2,4420,1
3,4420,1
0,4426,2
3,4426,2
2,4426,3
2,4430,0
1,4430,0
0,4434,1
2,4434,1
0,4442,2
3,4442,2
1,4442,3
2,4442,3
1,4445,0
2,4449,1
3,4449,1
0,4456,2
1,4456,2
1,4456,3
2,4456,3
